dosage_forms,generic_formulation,actual_ending,count
Oral Tablet,fenofibrate 160 MG, MG,63
Oral Tablet,levothyroxine sodium 0.15 MG, MG,62
Topical Cream,hydrocortisone 25 MG/ML,ML,62
Oral Tablet,amoxicillin 500 MG / clavulanate 125 MG, MG,62
Oral Tablet,amitriptyline hydrochloride 10 MG, MG,62
Oral Tablet,quetiapine 100 MG, MG,61
Extended Release Oral Tablet,Microencapsulated potassium chloride 20 MEQ, MEQ,61
"TABLET, EXTENDED RELEASE",Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet, MEQ Extended Release Oral Tablet,61
Oral Tablet,alprazolam 0.5 MG, MG,61
Delayed Release Oral Capsule,esomeprazole 20 MG, MG,61
Oral Tablet,tadalafil 10 MG, MG,61
Oral Tablet,amlodipine 2.5 MG, MG,60
Oral Tablet,hydrochlorothiazide 50 MG, MG,60
Oral Capsule,hydrochlorothiazide 12.5 MG, MG,60
Oral Capsule,acyclovir 200 MG, MG,60
Oral Tablet,carvedilol 3.125 MG, MG,60
Oral Tablet,clarithromycin 500 MG, MG,60
Oral Tablet,acetaminophen 325 MG / oxycodone hydrochloride 10 MG, MG,60
Oral Capsule,loperamide hydrochloride 2 MG, MG,60
Oral Tablet,diazepam 10 MG, MG,60
Oral Tablet,propranolol hydrochloride 20 MG, MG,59
Oral Tablet,mirtazapine 30 MG, MG,59
Oral Capsule,pregabalin 300 MG, MG,59
Oral Capsule,cefdinir 300 MG, MG,59
Oral Tablet,spironolactone 50 MG, MG,59
Oral Tablet,sucralfate 1000 MG, MG,59
"CAPSULE, EXTENDED RELEASE",24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,58
Topical Ointment,mupirocin 0.02 MG/MG,MG,58
Oral Tablet,spironolactone 100 MG, MG,58
Oral Tablet,aripiprazole 5 MG, MG,58
Oral Tablet,hydroxychloroquine sulfate 200 MG, MG,58
Oral Tablet,dexamethasone 4 MG, MG,58
Oral Tablet,lisinopril 2.5 MG, MG,58
Oral Tablet,glimepiride 2 MG, MG,58
Extended Release Oral Capsule,24 HR diltiazem hydrochloride 120 MG, MG,58
Oral Tablet,hydroxyzine hydrochloride 50 MG, MG,58
Oral Tablet,levothyroxine sodium 0.112 MG, MG,57
Oral Tablet,atenolol 100 MG, MG,57
Ophthalmic Solution,ofloxacin 3 MG/ML,ML,57
Oral Tablet,lamotrigine 25 MG, MG,56
Oral Tablet,oxybutynin chloride 5 MG, MG,56
Extended Release Oral Tablet,24 HR metformin hydrochloride 750 MG, MG,56
Oral Capsule,"nitrofurantoin, macrocrystals 100 MG", MG,56
Oral Tablet,levofloxacin 750 MG, MG,56
"TABLET, EXTENDED RELEASE",24 HR metformin hydrochloride 750 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,56
Oral Tablet,terbinafine 250 MG, MG,56
Oral Tablet,hydroxyzine hydrochloride 10 MG, MG,56
Oral Tablet,hydrochlorothiazide 12.5 MG / lisinopril 20 MG, MG,55
Delayed Release Oral Capsule,lansoprazole 30 MG, MG,55
Oral Tablet,donepezil hydrochloride 5 MG, MG,55
Oral Tablet,citalopram 40 MG, MG,55
Oral Tablet,finasteride 5 MG, MG,55
Oral Tablet,bupropion hydrochloride 100 MG, MG,55
Oral Tablet,nabumetone 500 MG, MG,55
Oral Tablet,amoxicillin 875 MG, MG,55
Oral Tablet,alprazolam 0.25 MG, MG,55
Oral Tablet,bupropion hydrochloride 75 MG, MG,54
Oral Tablet,paroxetine hydrochloride 10 MG, MG,54
Oral Tablet,quetiapine 50 MG, MG,54
INHALATION GAS,oxygen 99.2 % Gas for Inhalation, Gas for Inhalation,54
